nb_cycle_aller,moy_cycle_aller,dist_perturb,jour_perturb,propor_utilisa_aller
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,1,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
27,18,2.0,2,52.85087719298246
26,18,2.0,2,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
27,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
27,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
27,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,3,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
27,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
27,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,2.0,4,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
26,18,4.0,1,52.85087719298246
27,18,4.0,2,52.85087719298246
27,18,4.0,2,52.85087719298246
27,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
26,18,4.0,2,52.85087719298246
27,18,4.0,2,52.85087719298246
27,18,4.0,2,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
27,18,4.0,3,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
27,18,4.0,4,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
26,18,7.0,1,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
27,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
26,18,7.0,2,52.85087719298246
27,19,7.0,3,52.85087719298246
28,18,7.0,3,52.85087719298246
28,18,7.0,3,52.85087719298246
28,18,7.0,3,52.85087719298246
28,18,7.0,3,52.85087719298246
26,18,7.0,3,52.85087719298246
26,18,7.0,3,52.85087719298246
27,18,7.0,3,52.85087719298246
27,18,7.0,3,52.85087719298246
