nb_cycle_retour,moy_cycle_retour,d_eau / 1000,propor_utilisa_retour
26,19,10.0,53.80116959064327
0,0,10.0,0.0
26,19,10.0,54.239766081871345
26,19,10.0,53.80116959064327
26,19,10.0,54.166666666666664
26,19,10.0,53.65497076023392
26,19,10.0,53.80116959064327
26,19,10.0,53.65497076023392
26,19,10.0,54.239766081871345
26,19,10.0,54.166666666666664
27,19,10.0,53.65497076023392
27,19,10.0,54.239766081871345
27,19,10.0,53.80116959064327
27,19,10.0,54.166666666666664
27,19,10.0,53.65497076023392
27,19,10.0,54.239766081871345
27,19,10.0,53.80116959064327
27,19,10.0,54.166666666666664
27,19,10.0,53.65497076023392
0,0,10.0,0.0
27,19,10.0,54.166666666666664
27,19,10.0,54.239766081871345
27,19,10.0,53.65497076023392
27,19,10.0,54.166666666666664
27,19,10.0,54.166666666666664
28,19,10.0,53.65497076023392
26,19,10.0,53.50877192982456
26,19,10.0,53.94736842105263
26,19,10.0,53.94736842105263
26,19,10.0,53.50877192982456
26,19,10.0,53.94736842105263
0,0,10.0,0.0
27,19,10.0,54.312865497076025
26,19,10.0,53.50877192982456
27,19,10.0,53.94736842105263
27,19,10.0,53.65497076023392
27,19,10.0,54.312865497076025
27,19,10.0,53.50877192982456
27,19,10.0,53.65497076023392
26,19,10.0,53.94736842105263
27,19,10.0,53.94736842105263
27,19,10.0,53.94736842105263
27,19,10.0,54.09356725146199
27,19,10.0,53.50877192982456
28,19,10.0,53.65497076023392
27,19,10.0,54.312865497076025
27,19,10.0,53.94736842105263
27,19,10.0,53.94736842105263
27,19,10.0,53.50877192982456
28,19,10.0,53.65497076023392
27,19,10.0,53.94736842105263
27,19,10.0,53.94736842105263
28,19,10.0,54.09356725146199
28,19,10.0,53.94736842105263
27,19,10.0,53.94736842105263
28,19,10.0,53.94736842105263
28,19,10.0,53.65497076023392
27,19,10.0,53.94736842105263
27,19,10.0,53.94736842105263
28,19,10.0,53.65497076023392
28,19,10.0,53.94736842105263
28,19,10.0,53.94736842105263
28,19,10.0,53.94736842105263
28,19,10.0,53.94736842105263
29,19,10.0,53.65497076023392
28,19,10.0,53.94736842105263
29,19,10.0,53.94736842105263
29,19,10.0,53.65497076023392
29,19,10.0,53.94736842105263
28,19,10.0,53.94736842105263
29,19,10.0,53.65497076023392
29,19,10.0,53.94736842105263
29,19,10.0,53.65497076023392
29,19,10.0,53.94736842105263
29,19,10.0,53.94736842105263
29,19,10.0,53.94736842105263
30,19,10.0,53.65497076023392
29,19,10.0,53.94736842105263
30,19,10.0,53.94736842105263
29,19,10.0,53.94736842105263
30,19,10.0,53.94736842105263
27,19,15.0,53.65497076023392
27,19,15.0,53.65497076023392
27,19,15.0,53.94736842105263
27,19,15.0,53.87426900584795
28,19,15.0,53.65497076023392
27,19,15.0,53.94736842105263
28,19,15.0,53.87426900584795
28,19,15.0,53.65497076023392
28,19,15.0,53.87426900584795
27,19,15.0,53.94736842105263
0,0,15.0,0.0
28,19,15.0,53.65497076023392
28,19,15.0,53.94736842105263
29,19,15.0,53.43567251461988
28,19,15.0,53.87426900584795
28,19,15.0,53.65497076023392
28,20,15.0,53.58187134502924
29,19,15.0,53.43567251461988
28,19,15.0,53.87426900584795
28,19,15.0,53.94736842105263
29,19,15.0,53.43567251461988
29,19,15.0,53.43567251461988
30,19,15.0,53.43567251461988
27,19,15.0,53.94736842105263
30,19,15.0,53.43567251461988
28,20,15.0,53.72807017543859
28,19,15.0,53.94736842105263
28,20,15.0,53.72807017543859
28,20,15.0,53.72807017543859
28,19,15.0,53.50877192982456
28,19,15.0,53.50877192982456
28,19,15.0,53.50877192982456
27,19,15.0,53.72807017543859
27,19,15.0,53.72807017543859
27,19,15.0,53.72807017543859
27,19,15.0,53.72807017543859
28,19,15.0,53.72807017543859
28,19,15.0,53.72807017543859
27,19,15.0,53.87426900584795
27,19,15.0,53.43567251461988
27,19,15.0,53.87426900584795
28,19,15.0,53.43567251461988
28,19,15.0,53.87426900584795
28,19,15.0,53.43567251461988
28,19,15.0,53.87426900584795
27,20,15.0,53.43567251461988
28,19,15.0,53.43567251461988
27,20,15.0,53.43567251461988
28,19,15.0,53.87426900584795
28,20,15.0,53.43567251461988
28,19,15.0,53.43567251461988
28,20,15.0,53.72807017543859
28,20,15.0,53.72807017543859
28,20,15.0,53.43567251461988
29,19,15.0,53.43567251461988
29,20,15.0,53.72807017543859
29,19,15.0,53.43567251461988
29,19,15.0,53.43567251461988
28,19,15.0,53.289473684210535
29,19,15.0,53.43567251461988
28,19,15.0,53.72807017543859
28,19,15.0,53.72807017543859
30,19,15.0,53.43567251461988
28,19,15.0,53.94736842105263
28,19,15.0,53.72807017543859
30,19,15.0,53.43567251461988
29,19,15.0,53.72807017543859
28,19,15.0,53.94736842105263
28,19,15.0,53.94736842105263
29,19,15.0,53.72807017543859
29,19,15.0,53.72807017543859
29,19,15.0,53.94736842105263
29,19,15.0,53.72807017543859
29,19,15.0,53.94736842105263
29,19,15.0,53.94736842105263
28,20,15.0,53.65497076023392
30,19,15.0,53.72807017543859
29,19,15.0,53.94736842105263
30,19,15.0,53.72807017543859
30,19,15.0,53.94736842105263
30,19,15.0,53.94736842105263
31,22,20.0,57.45614035087719
30,22,20.0,57.23684210526315
30,22,20.0,57.23684210526315
31,22,20.0,57.45614035087719
31,22,20.0,57.23684210526315
0,0,20.0,0.0
31,22,20.0,57.45614035087719
30,22,20.0,56.50584795321637
31,22,20.0,57.45614035087719
0,0,20.0,0.0
32,22,20.0,57.45614035087719
31,22,20.0,56.50584795321637
31,22,20.0,56.79824561403509
32,22,20.0,57.45614035087719
31,22,20.0,56.50584795321637
32,22,20.0,57.45614035087719
31,22,20.0,57.23684210526315
32,22,20.0,56.79824561403509
31,22,20.0,56.50584795321637
32,22,20.0,56.79824561403509
31,22,20.0,56.50584795321637
31,22,20.0,57.23684210526315
32,22,20.0,56.79824561403509
32,22,20.0,56.50584795321637
32,22,20.0,56.50584795321637
31,22,20.0,57.23684210526315
31,22,20.0,57.23684210526315
32,22,20.0,56.50584795321637
32,22,20.0,56.50584795321637
32,22,20.0,57.23684210526315
33,22,20.0,56.50584795321637
32,22,20.0,57.23684210526315
32,22,20.0,57.23684210526315
33,22,20.0,56.50584795321637
33,22,20.0,56.50584795321637
31,22,20.0,57.163742690058484
31,22,20.0,57.23684210526315
33,22,20.0,56.50584795321637
32,22,20.0,56.87134502923976
31,22,20.0,57.090643274853804
32,22,20.0,57.090643274853804
32,22,20.0,57.090643274853804
32,22,20.0,57.23684210526315
32,22,20.0,57.23684210526315
31,22,20.0,56.79824561403509
31,22,20.0,56.79824561403509
0,0,20.0,0.0
31,22,20.0,56.79824561403509
32,22,20.0,57.01754385964912
0,0,20.0,0.0
32,22,20.0,56.79824561403509
32,22,20.0,56.79824561403509
32,22,20.0,57.30994152046783
30,22,20.0,57.23684210526315
33,22,20.0,57.30994152046783
32,22,20.0,56.79824561403509
30,22,20.0,57.23684210526315
32,22,20.0,56.79824561403509
33,22,20.0,56.79824561403509
33,22,20.0,56.79824561403509
33,22,20.0,56.79824561403509
32,22,20.0,57.45614035087719
33,22,20.0,56.79824561403509
32,22,20.0,57.01754385964912
32,22,20.0,56.72514619883041
32,22,20.0,57.45614035087719
34,22,20.0,56.79824561403509
33,22,20.0,56.72514619883041
31,22,20.0,56.94444444444444
33,22,20.0,56.72514619883041
31,22,20.0,56.94444444444444
33,22,20.0,56.72514619883041
34,24,25.0,55.409356725146196
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
35,24,25.0,55.26315789473685
33,24,25.0,55.336257309941516
35,24,25.0,55.26315789473685
35,24,25.0,55.26315789473685
34,24,25.0,55.336257309941516
34,24,25.0,54.824561403508774
35,24,25.0,54.97076023391813
35,24,25.0,54.824561403508774
35,24,25.0,54.97076023391813
35,24,25.0,54.824561403508774
35,24,25.0,54.824561403508774
36,24,25.0,54.97076023391813
35,24,25.0,54.824561403508774
36,24,25.0,54.97076023391813
36,24,25.0,54.97076023391813
36,24,25.0,54.824561403508774
36,24,25.0,54.824561403508774
0,0,25.0,0.0
36,24,25.0,54.97076023391813
37,24,25.0,54.97076023391813
36,24,25.0,54.824561403508774
35,24,25.0,55.77485380116959
36,24,25.0,54.824561403508774
37,24,25.0,54.97076023391813
35,24,25.0,55.77485380116959
34,24,25.0,55.11695906432749
35,24,25.0,55.11695906432749
37,24,25.0,54.824561403508774
35,24,25.0,55.77485380116959
37,24,25.0,54.97076023391813
37,24,25.0,54.824561403508774
35,24,25.0,55.11695906432749
35,24,25.0,54.385964912280706
35,24,25.0,55.77485380116959
36,24,25.0,55.77485380116959
35,24,25.0,55.11695906432749
37,24,25.0,54.824561403508774
36,24,25.0,55.77485380116959
37,24,25.0,54.824561403508774
35,24,25.0,55.04385964912281
36,24,25.0,55.77485380116959
38,24,25.0,54.824561403508774
38,24,25.0,54.824561403508774
36,24,25.0,55.77485380116959
36,24,25.0,55.04385964912281
36,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
36,24,25.0,55.04385964912281
36,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
37,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
38,24,25.0,55.04385964912281
0,0,25.0,0.0
34,24,25.0,55.19005847953217
34,24,25.0,55.19005847953217
35,24,25.0,55.19005847953217
35,24,25.0,55.19005847953217
0,0,25.0,0.0
35,24,25.0,55.26315789473685
35,24,25.0,55.26315789473685
36,24,25.0,55.26315789473685
36,24,25.0,55.26315789473685
32,24,25.0,55.48245614035088
36,24,25.0,55.26315789473685
32,24,25.0,55.48245614035088
36,24,25.0,55.26315789473685
37,24,25.0,55.26315789473685
37,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
37,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.26315789473685
34,24,25.0,55.48245614035088
35,24,25.0,55.26315789473685
34,24,25.0,55.48245614035088
35,24,25.0,55.26315789473685
34,24,25.0,55.48245614035088
34,24,25.0,55.48245614035088
35,24,25.0,55.84795321637427
35,24,25.0,55.48245614035088
35,24,25.0,55.84795321637427
36,24,25.0,55.84795321637427
35,24,25.0,55.48245614035088
36,24,25.0,55.84795321637427
35,24,25.0,55.48245614035088
36,24,25.0,55.84795321637427
37,24,25.0,55.55555555555556
36,24,25.0,55.84795321637427
37,24,25.0,55.55555555555556
37,24,25.0,55.84795321637427
37,24,25.0,55.84795321637427
37,24,25.0,55.55555555555556
38,24,25.0,55.55555555555556
37,24,25.0,55.84795321637427
38,24,25.0,55.55555555555556
37,24,25.0,55.84795321637427
38,24,25.0,55.55555555555556
38,24,25.0,55.84795321637427
38,24,25.0,55.55555555555556
38,24,25.0,55.84795321637427
35,24,25.0,55.409356725146196
39,24,25.0,55.55555555555556
36,24,25.0,55.409356725146196
39,24,25.0,55.55555555555556
36,24,25.0,55.409356725146196
39,24,25.0,55.55555555555556
36,24,25.0,55.409356725146196
36,24,25.0,55.409356725146196
37,24,25.0,55.409356725146196
37,24,25.0,55.409356725146196
37,24,25.0,55.336257309941516
38,24,25.0,55.336257309941516
37,24,25.0,55.409356725146196
38,24,25.0,55.336257309941516
38,24,25.0,55.336257309941516
38,24,25.0,55.336257309941516
39,24,25.0,55.336257309941516
39,24,25.0,55.336257309941516
39,24,25.0,55.336257309941516
