nb_cycle_retour,moy_cycle_retour,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_retour
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
22,16,75.0,4,5,89.69298245614034
22,15,75.0,2,5,89.69298245614034
23,16,75.0,4,5,0.0
23,16,75.0,4,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,15,75.0,2,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
23,16,75.0,4,5,89.69298245614034
24,16,75.0,4,5,89.69298245614034
22,16,75.0,6,5,0.0
22,16,75.0,6,5,89.69298245614034
23,16,75.0,6,5,89.69298245614034
23,16,75.0,6,5,89.69298245614034
23,16,75.0,6,5,89.69298245614034
24,16,75.0,6,5,89.69298245614034
22,16,92.0,2,5,0.0
22,16,92.0,2,5,88.88888888888889
23,16,92.0,2,5,88.96198830409357
23,16,92.0,2,5,88.96198830409357
22,16,92.0,4,5,0.0
22,16,92.0,4,5,88.96198830409357
23,16,92.0,2,5,88.96198830409357
22,16,92.0,4,5,88.96198830409357
23,15,75.0,6,5,89.69298245614034
23,16,92.0,2,5,88.96198830409357
23,16,92.0,2,5,88.96198830409357
22,16,92.0,4,5,88.96198830409357
24,16,92.0,2,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
23,16,92.0,4,5,88.96198830409357
22,16,92.0,6,5,88.96198830409357
22,16,92.0,6,5,88.96198830409357
22,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
22,16,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
22,15,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
22,15,92.0,6,5,88.96198830409357
22,16,109.0,2,5,89.8391812865497
23,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
23,16,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
23,16,92.0,6,5,88.96198830409357
23,16,92.0,6,5,88.96198830409357
22,16,92.0,6,5,0.0
23,16,109.0,2,5,0.0
24,16,92.0,6,5,88.96198830409357
23,16,109.0,2,5,89.8391812865497
23,16,109.0,2,5,89.8391812865497
24,16,109.0,2,5,89.8391812865497
24,16,109.0,2,5,89.8391812865497
22,15,109.0,4,5,89.91228070175438
22,15,109.0,4,5,89.8391812865497
22,15,109.0,4,5,89.8391812865497
22,15,109.0,4,5,89.8391812865497
23,15,109.0,4,5,89.8391812865497
23,15,109.0,4,5,89.8391812865497
23,16,109.0,4,5,89.8391812865497
22,15,75.0,2,7,88.1578947368421
23,16,109.0,4,5,89.8391812865497
22,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
22,16,109.0,6,5,0.0
22,16,109.0,6,5,89.8391812865497
22,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,0.0
22,15,75.0,2,7,88.1578947368421
22,15,75.0,2,7,88.1578947368421
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
23,16,109.0,6,5,89.8391812865497
23,16,109.0,6,5,89.8391812865497
24,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
24,16,109.0,6,5,89.8391812865497
24,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
24,16,109.0,6,5,89.8391812865497
22,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
22,15,75.0,2,7,88.1578947368421
24,16,109.0,6,5,89.8391812865497
23,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
23,15,75.0,2,7,88.1578947368421
21,15,75.0,4,7,0.0
22,15,75.0,4,7,88.1578947368421
22,15,75.0,4,7,0.0
22,15,75.0,4,7,88.1578947368421
22,15,75.0,4,7,88.1578947368421
22,15,75.0,4,7,88.1578947368421
23,15,75.0,4,7,88.1578947368421
23,15,75.0,4,7,88.1578947368421
23,16,75.0,6,7,0.0
23,16,75.0,6,7,88.1578947368421
23,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
23,16,75.0,6,7,88.1578947368421
23,16,75.0,6,7,88.1578947368421
24,16,75.0,6,7,88.1578947368421
21,16,92.0,2,7,0.0
24,16,75.0,6,7,88.1578947368421
23,15,92.0,2,7,89.25438596491229
22,16,92.0,2,7,0.0
22,16,92.0,2,7,89.25438596491229
23,16,92.0,2,7,89.25438596491229
23,16,92.0,2,7,89.25438596491229
21,15,92.0,4,7,89.25438596491229
22,15,92.0,2,7,0.0
23,15,92.0,2,7,89.25438596491229
23,15,92.0,2,7,89.25438596491229
23,15,92.0,2,7,89.25438596491229
23,15,92.0,2,7,89.25438596491229
23,15,92.0,4,7,89.25438596491229
23,15,92.0,4,7,89.25438596491229
21,15,92.0,4,7,0.0
21,15,92.0,4,7,89.25438596491229
22,15,92.0,4,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,0.0
23,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
22,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
23,15,92.0,6,7,89.25438596491229
23,16,109.0,2,7,89.40058479532163
23,16,109.0,2,7,89.40058479532163
24,16,109.0,2,7,89.40058479532163
23,16,109.0,2,7,89.40058479532163
24,16,109.0,2,7,89.40058479532163
24,16,109.0,2,7,89.40058479532163
23,16,109.0,2,7,89.40058479532163
24,16,109.0,2,7,89.40058479532163
24,16,109.0,2,7,89.40058479532163
23,16,109.0,2,7,89.40058479532163
23,16,109.0,2,7,89.40058479532163
22,15,109.0,4,7,89.40058479532163
22,15,109.0,4,7,0.0
22,15,109.0,4,7,89.40058479532163
22,15,109.0,4,7,89.40058479532163
23,15,109.0,4,7,89.40058479532163
23,15,109.0,4,7,89.40058479532163
23,15,109.0,4,7,89.40058479532163
23,15,109.0,4,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
22,15,109.0,6,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
22,16,75.0,2,9,0.0
22,16,75.0,2,9,89.69298245614034
22,16,75.0,2,9,89.69298245614034
24,16,75.0,2,9,89.69298245614034
22,16,75.0,4,9,89.69298245614034
22,15,109.0,6,7,89.40058479532163
23,16,75.0,4,9,89.69298245614034
22,15,109.0,6,7,89.40058479532163
22,15,109.0,6,7,89.40058479532163
22,15,109.0,6,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
23,15,109.0,6,7,89.40058479532163
23,16,75.0,4,9,89.69298245614034
23,16,75.0,4,9,89.69298245614034
23,16,75.0,4,9,89.69298245614034
23,16,75.0,4,9,89.69298245614034
24,16,75.0,4,9,89.69298245614034
24,16,75.0,4,9,89.69298245614034
24,16,75.0,4,9,89.69298245614034
24,16,75.0,4,9,89.69298245614034
23,16,75.0,4,9,89.69298245614034
23,16,75.0,4,9,89.69298245614034
23,16,75.0,4,9,89.69298245614034
24,16,75.0,4,9,89.69298245614034
24,16,75.0,4,9,89.69298245614034
23,16,75.0,6,9,89.69298245614034
24,16,75.0,6,9,89.69298245614034
24,16,75.0,6,9,89.69298245614034
22,16,75.0,6,9,0.0
22,16,75.0,6,9,89.69298245614034
23,16,75.0,6,9,89.69298245614034
23,16,75.0,6,9,89.69298245614034
22,16,75.0,6,9,89.69298245614034
24,16,75.0,6,9,89.69298245614034
22,16,92.0,2,9,91.00877192982456
22,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
22,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
22,16,92.0,2,9,0.0
24,16,92.0,2,9,91.00877192982456
23,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
24,16,92.0,2,9,91.00877192982456
23,16,92.0,4,9,0.0
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
22,16,92.0,4,9,91.00877192982456
22,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
23,16,92.0,4,9,0.0
23,16,92.0,4,9,91.00877192982456
22,15,92.0,6,9,91.00877192982456
23,16,92.0,4,9,91.00877192982456
22,15,92.0,6,9,91.00877192982456
22,15,92.0,6,9,91.00877192982456
22,15,92.0,6,9,91.00877192982456
22,15,92.0,6,9,0.0
22,15,92.0,6,9,91.00877192982456
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
22,15,109.0,2,9,90.78947368421053
22,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
22,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,2,9,90.78947368421053
23,15,109.0,4,9,90.78947368421053
22,15,109.0,4,9,90.78947368421053
23,15,109.0,4,9,90.78947368421053
23,15,109.0,4,9,90.78947368421053
23,15,109.0,4,9,90.78947368421053
23,15,109.0,4,9,90.78947368421053
22,15,109.0,6,9,0.0
23,15,109.0,6,9,90.78947368421053
22,15,75.0,2,11,0.0
22,15,75.0,2,11,90.27777777777779
23,15,75.0,2,11,90.27777777777779
23,15,109.0,6,9,90.78947368421053
23,15,75.0,2,11,90.27777777777779
22,15,109.0,6,9,90.78947368421053
22,15,109.0,6,9,90.78947368421053
23,15,109.0,6,9,90.78947368421053
23,15,109.0,6,9,90.78947368421053
23,15,109.0,6,9,90.78947368421053
23,15,75.0,2,11,90.27777777777779
23,15,75.0,2,11,90.27777777777779
23,15,75.0,2,11,90.27777777777779
22,15,75.0,2,11,90.27777777777779
22,15,75.0,2,11,90.27777777777779
22,15,75.0,2,11,90.27777777777779
22,15,75.0,2,11,90.27777777777779
23,15,75.0,2,11,90.27777777777779
22,15,75.0,4,11,0.0
22,15,75.0,4,11,90.27777777777779
22,15,75.0,4,11,90.27777777777779
23,15,75.0,4,11,90.27777777777779
23,15,75.0,4,11,90.27777777777779
22,15,75.0,4,11,90.27777777777779
22,15,75.0,4,11,90.27777777777779
22,15,75.0,4,11,90.27777777777779
23,15,75.0,4,11,90.27777777777779
23,15,75.0,4,11,90.27777777777779
23,15,75.0,4,11,90.27777777777779
23,15,75.0,4,11,90.27777777777779
21,15,75.0,4,11,90.27777777777779
21,15,75.0,4,11,90.27777777777779
22,15,75.0,4,11,90.27777777777779
22,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
22,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
23,16,75.0,6,11,90.27777777777779
24,16,75.0,6,11,90.27777777777779
24,16,92.0,2,11,89.8391812865497
23,16,92.0,2,11,89.8391812865497
23,16,92.0,2,11,89.8391812865497
23,16,92.0,2,11,89.8391812865497
23,16,92.0,2,11,89.8391812865497
24,16,92.0,2,11,89.8391812865497
23,16,92.0,2,11,89.8391812865497
23,16,92.0,2,11,89.8391812865497
22,16,92.0,4,11,89.8391812865497
23,16,92.0,4,11,89.8391812865497
23,16,92.0,4,11,89.8391812865497
23,16,92.0,4,11,89.8391812865497
23,16,92.0,4,11,89.8391812865497
24,16,92.0,4,11,89.8391812865497
24,16,92.0,4,11,89.8391812865497
24,16,92.0,4,11,89.8391812865497
24,16,92.0,4,11,89.8391812865497
23,16,92.0,4,11,0.0
23,15,92.0,6,11,89.8391812865497
23,15,92.0,6,11,89.8391812865497
23,16,92.0,6,11,89.8391812865497
23,16,109.0,2,11,90.49707602339181
23,16,109.0,2,11,90.49707602339181
23,16,109.0,2,11,90.49707602339181
23,16,109.0,2,11,90.49707602339181
23,16,109.0,2,11,90.49707602339181
24,16,109.0,2,11,90.49707602339181
24,16,109.0,2,11,90.49707602339181
24,16,109.0,2,11,90.49707602339181
23,16,109.0,2,11,90.49707602339181
23,16,109.0,4,11,0.0
23,16,109.0,4,11,90.49707602339181
23,16,109.0,4,11,90.49707602339181
24,16,109.0,4,11,90.49707602339181
23,16,109.0,4,11,90.49707602339181
23,16,109.0,4,11,90.49707602339181
23,16,109.0,4,11,90.49707602339181
24,16,109.0,4,11,90.49707602339181
23,16,109.0,4,11,90.49707602339181
23,16,109.0,4,11,90.49707602339181
24,16,109.0,6,11,0.0
23,16,109.0,6,11,90.49707602339181
23,16,109.0,6,11,90.49707602339181
23,16,109.0,6,11,90.49707602339181
23,16,109.0,6,11,90.49707602339181
22,16,109.0,6,11,90.49707602339181
22,16,109.0,6,11,90.49707602339181
